Mean Well NDR-480-24,,POINT TYPE,,,,,,,,
,,Hardware Point,,,,,Virtual Point,,,
Point Description,Origin Address,DO,DI,AO,AI,Pwr,,Destination Address,Destination Description,Notes
DC Power Supply (Mean Well NDR-480-24) – Line Input,L,0.0,0.0,0.0,0.0,1.0,,L,MORSETTITALIA EURO S10H-5H Fuse Block,Line from wall -> passes through power switch (closed = line passes) -> enters 25A fuse (EURO S10H-5H) -> splits to multiple loads -> enters PSU L terminal
DC Power Supply (Mean Well NDR-480-24) – Neutral Input,N,0.0,0.0,0.0,0.0,1.0,,N,Neutral Bus,Neutral from supply -> directly connected to PSU N terminal
DC Power Supply (Mean Well NDR-480-24) – Ground (Protective Earth),G,0.0,0.0,0.0,0.0,1.0,,G,Ground Bus,Protective earth -> connected to PSU ground terminal / chassis bond
DC Power Supply (Mean Well NDR-480-24) – Negative Output,-V,0.0,0.0,0.0,0.0,1.0,,A2,Mitsubishi SD-N35 Contactor,-V from power supply -> connected to A2 (coil return) of contactor
DC Power Supply (Mean Well NDR-480-24) – Negative Output,-V,0.0,0.0,0.0,0.0,1.0,,COM,D2-08TD2 Output Module,-V from power supply -> connected to COM of D2-08TD2
DC Power Supply (Mean Well NDR-480-24) – Negative Output,-V,0.0,0.0,0.0,0.0,1.0,,COM,D2-08ND3 Input Module,-V from power supply -> connected to COM of D2-08ND3
DC Power Supply (Mean Well NDR-480-24) – Negative Output,-V,0.0,0.0,0.0,0.0,1.0,,COM,D2-04RTD Module,-V from power supply -> connected to COM of D2-04RTD
DC Power Supply (Mean Well NDR-480-24) – Positive Output,+V,0.0,0.0,0.0,0.0,1.0,,IN,MORSETTITALIA EURO S4LH Terminal Block,"+24V from power supply -> enters terminal block -> passes through single 1.5A fast blow fuse -> distributed to pushbutton commons (Forward, Reverse, Dead man switch 1, Dead man switch 2)"
,Total Points,0.0,0.0,0.0,0.0,5.0,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
