,,,,,,,,,,
Mitsubishi SD-N35,,POINT TYPE,,,,,,,,
,,Hardware Point,,,,,Virtual Point,,,
Point Description,Origin Address,DO,DI,AO,AI,Pwr,,Destination Address,Destination Description,Notes
Contactor (Mitsubishi SD-N35) – Coil A1,A1,0.0,0.0,0.0,0.0,1.0,0.0,Y0,D2-08TD2 Output Module (12–24VDC),A1 → DF103V (1/2A slow blow fuse) → D2-08TD2 output supplying +24VDC
Contactor (Mitsubishi SD-N35) – Coil A2,A2,0.0,0.0,0.0,0.0,1.0,0.0,-V,NDR-480-24 Power Supply,A2 → direct return to power supply negative (–V)
Contactor (Mitsubishi SD-N35) – Line Input,L1,0.0,0.0,0.0,0.0,1.0,0.0,L,Phoenix Contact TMC 83C 15A (2907618),L1 → Phoenix Contact fuse breaker → fed from wall AC line
Contactor (Mitsubishi SD-N35) – Load Output,T1,0.0,0.0,0.0,0.0,1.0,0.0,R,HY Series VFD (HY02D211B-T),T1 → passes through contactor → supplies VFD terminal R (line input)
,Total Points,=SUM(C5:C8),=SUM(D5:D8),=SUM(E5:E8),=SUM(F5:F8),=SUM(G5:G8),=SUM(H5:H8),,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,, ,,
